Date,Description,Debit,Credit,Balance,Category,SubCategory
1/11/2024,Osko Withdrawal               01Nov19:34 Michelle,300,,708721.39,Withdrawals & Transfers,Withdrawal
1/11/2024,Atm Withdrawal                01Nov15:50 Rundle Place Os          Adelaide     Au,800,,709021.39,Withdrawals & Transfers,ATM & EFTPOS
1/11/2024,Internet Deposit              01Nov10:17 From 9000204517840,,21000,709821.39,Deposits,Deposit
1/11/2024,Smith Partners R 005T7Lf Payment To,,1333.88,688821.39,Deposits,Deposit
1/11/2024,Osko Withdrawal               31Oct22:42 Magda,250,,687487.51,Withdrawals & Transfers,Withdrawal
1/11/2024,Osko Withdrawal               31Oct22:41 Ada,250,,687737.51,Withdrawals & Transfers,Withdrawal
31/10/2024,Overseas Withdrawal Fee,5,,687987.51,Fees & Charges,Fees & Charges
31/10/2024,Visa Purchase                 29Oct City Bbq & Yum Cha P Rundle Ma,23.7,,687992.51,Food & Beverage,Dining out
31/10/2024,Internet Withdrawal           31Oct05:56 To 1160084689040,200,,688016.21,Withdrawals & Transfers,Funds transfer
31/10/2024,Internet Withdrawal           31Oct05:56 To 0280074830940,800,,688216.21,Withdrawals & Transfers,Funds transfer
31/10/2024,Internet Withdrawal           31Oct05:56 To 802-919 001908567,1000,,689016.21,Withdrawals & Transfers,Funds transfer
30/10/2024,Visa Purchase                 28Oct Prestige Dry Clean   North Ade,70,,690016.21,Home & Property,Services & Tradespeople
30/10/2024,Visa Purchase                 28Oct Ezymart 118 King Wil Adelaide,21.8,,690086.21,Food & Beverage,Food & Groceries
30/10/2024,Visa Purchase                 28Oct Linda Erica Shackloc Adelaide,9.6,,690108.01,Retail & Personal,Medical & Personal care
29/10/2024,Raa 35878759_12_1,31.5,,690117.61,Transport & Travel,Vehicle Expenses
29/10/2024,Visa Purchase                 25Oct Bakery On O'Connell  North Ade,22.73,,690149.11,Food & Beverage,Food & Groceries
29/10/2024,Raa 37652251_1_1,19.99,,690171.84,Transport & Travel,Vehicle Expenses
29/10/2024,Visa Purchase                 26Oct Bakery On O'Connell  North Ade,18.18,,690191.83,Food & Beverage,Food & Groceries
29/10/2024,Visa Purchase                 27Oct Zlr*Metropolitan Fre North Ade,8.12,,690210.01,Food & Beverage,Food & Groceries
29/10/2024,Eftpos Debit                  29Oct08:59 Beem\\0Edd8Ebd64D24B4582B9Ac228Ee97E14,250,,690218.13,Withdrawals & Transfers,Funds transfer
28/10/2024,Visa Purchase                 24Oct Yakitori Takumi      North Ade,221.92,,690468.13,Food & Beverage,Dining out
28/10/2024,Visa Purchase                 25Oct Krung Thep           North Ade,56.42,,690690.05,Food & Beverage,Dining out
28/10/2024,Visa Purchase                 25Oct City Bbq & Yum Cha P Rundle Ma,23.7,,690746.47,Food & Beverage,Dining out
28/10/2024,Visa Purchase                 24Oct Bakery On O'Connell  North Ade,19.49,,690770.17,Food & Beverage,Food & Groceries
28/10/2024,Visa Purchase                 24Oct Bakery On O'Connell  North Ade,9.8,,690789.66,Food & Beverage,Food & Groceries
28/10/2024,Atm Withdrawal                28Oct16:27 Atmx 139 Oconnell St   North Adelaid08Au,2000,,690799.46,Withdrawals & Transfers,ATM & EFTPOS
28/10/2024,Atm Withdrawal                27Oct16:13 Atmx 139 Oconnell St   North Adelaid08Au,1000,,692799.46,Withdrawals & Transfers,ATM & EFTPOS
28/10/2024,Osko Withdrawal               27Oct00:07 Finley Greenhill Galea,1500,,693799.46,Withdrawals & Transfers,Withdrawal
26/10/2024,Visa Purchase                 23Oct Bakery On O'Connell  North Ade,12.12,,695299.46,Food & Beverage,Food & Groceries
26/10/2024,Osko Withdrawal               25Oct22:34 Finley Greenhill Galea,1200,,695311.58,Withdrawals & Transfers,Withdrawal
25/10/2024,Visa Purchase                 23Oct City Bbq & Yum Cha P Rundle Ma,23.7,,696511.58,Food & Beverage,Dining out
25/10/2024,Osko Withdrawal               25Oct11:16 Kelly Deen,1900,,696535.28,Withdrawals & Transfers,Withdrawal
24/10/2024,Visa Purchase                 22Oct 34 Wyatt Street      Adelaide,21.21,,698435.28,Food & Beverage,Dining out
24/10/2024,Visa Purchase                 21Oct Bakery On O'Connell  North Ade,12.12,,698456.49,Food & Beverage,Food & Groceries
24/10/2024,Visa Purchase                 22Oct Coles 4964           Adelaide,4,,698468.61,Food & Beverage,Food & Groceries
24/10/2024,Internet Withdrawal           24Oct06:00 To 0280074830940,800,,698472.61,Withdrawals & Transfers,Funds transfer
24/10/2024,Internet Withdrawal           24Oct06:00 To 802-919 001908567,1000,,699272.61,Withdrawals & Transfers,Funds transfer
24/10/2024,Osko Deposit                  23Oct23:44 Finley Greenhill Galea,,180,700272.61,Deposits,Deposit
23/10/2024,Visa Purchase                 20Oct Bakery On O'Connell  North Ade,30.3,,700092.61,Food & Beverage,Food & Groceries
23/10/2024,Foreign Currency Conversn Fee,0.89,,700122.91,Fees & Charges,Fees & Charges
23/10/2024,Visa Purchase O/Seas          21Oct Usd20.00 Claude.Ai Subscripti,29.9,,700123.8,Home & Property,Technology & Appliances
23/10/2024,Osko Withdrawal               23Oct19:58 Finley Greenhill Galea,600,,700153.7,Withdrawals & Transfers,Withdrawal
23/10/2024,Osko Withdrawal               23Oct19:52 Finley Greenhill Galea,400,,700753.7,Withdrawals & Transfers,Withdrawal
23/10/2024,Atm Withdrawal                23Oct13:56 Rundle Place Os          Adelaide     Au,500,,701153.7,Withdrawals & Transfers,ATM & EFTPOS
22/10/2024,Visa Purchase                 17Oct Bakery On O'Connell  North Ade,12.12,,701653.7,Food & Beverage,Food & Groceries
22/10/2024,Visa Purchase                 19Oct Google Youtube Membe Pyrmont,3.99,,701665.82,Entertainment & Recreation,TV
22/10/2024,Atm Withdrawal                22Oct12:43 Rundle Place Os          Adelaide     Au,2000,,701669.81,Withdrawals & Transfers,ATM & EFTPOS
21/10/2024,Allianz Aust 1Rd221368013224295,172.39,,703669.81,Bills & Payments,Insurance
21/10/2024,Allianz Aust 1Rd220985013224295,23.13,,703842.2,Bills & Payments,Insurance
21/10/2024,Osko Withdrawal               20Oct17:04 Magda,2000,,703865.33,Withdrawals & Transfers,Withdrawal
19/10/2024,Visa Purchase                 15Oct Sa Water             Adelaide,371.06,,705865.33,Bills & Payments,Utilities & Rates
19/10/2024,Visa Purchase                 16Oct Bakery On O'Connell  North Ade,7.07,,706236.39,Food & Beverage,Food & Groceries
19/10/2024,Internet Deposit              19Oct19:45 Ada Lili,,20,706243.46,Deposits,Deposit
19/10/2024,Tfr Wdl BPAY Internet         19Oct11:13 0044605194          Deft Rent,980,,706223.46,Home & Property,Mortgage & Rent
19/10/2024,Internet Withdrawal           19Oct10:51 To 1160084689040,310,,707203.46,Withdrawals & Transfers,Funds transfer
18/10/2024,Visa Purchase                 15Oct Bakery On O'Connell  North Ade,12.12,,707513.46,Food & Beverage,Food & Groceries
17/10/2024,Internet Withdrawal           17Oct05:57 To 0280074830940,800,,707525.58,Withdrawals & Transfers,Funds transfer
17/10/2024,Internet Withdrawal           17Oct05:57 To 1160084689040,320,,708325.58,Withdrawals & Transfers,Funds transfer
17/10/2024,Internet Withdrawal           17Oct05:57 To 802-919 001908567,1000,,708645.58,Withdrawals & Transfers,Funds transfer
16/10/2024,Loan Repayment S.514.2655406.00,4924,,709645.58,Home & Property,Mortgage & Rent
15/10/2024,Visa Purchase                 11Oct Airbnb * Hms4Ddqp9W  Surry Hil,150.77,,714569.58,Transport & Travel,Hotels and Accommodation
15/10/2024,Visa Purchase                 11Oct Hsp Sa No. 1 Pty Ltd Ashford,21.27,,714720.35,Retail & Personal,Medical & Personal care
15/10/2024,Smith Partners R 005S96X Payment To,,1255.28,714741.62,Deposits,Deposit
14/10/2024,Raa 37596091_1_1,93.75,,713486.34,Transport & Travel,Vehicle Expenses
12/10/2024,Visa Purchase                 08Oct Epoch.Com   *Tecomlt Limassol,85.97,,713580.09,Retail & Personal,Retail (shopping)
12/10/2024,Osko Withdrawal               12Oct04:00 Magda,500,,713666.06,Withdrawals & Transfers,Withdrawal
11/10/2024,Visa Purchase                 10Oct Medibank Phi Debit   Melbourne,573.65,,714166.06,Bills & Payments,Insurance
11/10/2024,Tfr Wdl BPAY Internet         11Oct17:59 62345302145         Optus Billing Svcs,200,,714739.71,Bills & Payments,Telecommunications
