Date,Description,Debit,Credit,Balance,Category,SubCategory
1/11/2024,Atm Operator Fee Wdl          31Oct23:01 Np-Otr Alberton        Alberton     05Au,3.2,,46.29,Fees & Charges,Fees & Charges
1/11/2024,Atm Withdrawal                31Oct23:01 Np-Otr Alberton        Alberton     05Au,150,,49.49,Withdrawals & Transfers,ATM & EFTPOS
1/11/2024,Atm Operator Fee Inq          31Oct23:00 Np-Otr Alberton        Alberton     05Au,3.2,,199.49,Fees & Charges,Fees & Charges
31/10/2024,Internet Deposit              31Oct05:56 From 0280074494440,,200,202.69,Deposits,Deposit
24/10/2024,Visa Purchase                 20Oct Amazon Au            Sydney So,16.5,,2.69,Retail & Personal,Retail (shopping)
24/10/2024,Visa Purchase                 21Oct Lord Melbourne Hotel North Ade,12,,19.19,Food & Beverage,Beverages
23/10/2024,Visa Purchase                 20Oct Prime Video Channels Sydney,8.99,,31.19,Retail & Personal,Retail (shopping)
22/10/2024,Visa Purchase                 18Oct Uber* Eats           Httpswww.,45.96,,40.18,Food & Beverage,Dining out
22/10/2024,Visa Purchase                 18Oct Uber* Eats           Httpswww.,39.85,,86.14,Food & Beverage,Dining out
22/10/2024,Visa Purchase                 18Oct Uber* Eats           Httpswww.,17.62,,125.99,Food & Beverage,Dining out
21/10/2024,Visa Purchase                 18Oct Uber* Eats           Httpswww.,58.46,,143.61,Food & Beverage,Dining out
21/10/2024,Eftpos Credit                 21Oct20:01 Uber* Trip\,,0.82,202.07,Deposits,Deposit
21/10/2024,Eftpos Debit                  21Oct19:46 Uber* Trip\,14.12,,201.25,Transport & Travel,Taxi & Rental car
21/10/2024,Eftpos Debit                  21Oct18:49 Smp*Lord Melbourne Ho\North Adelaid   Au,252.5,,215.37,Entertainment & Recreation,Gaming & Lotteries
21/10/2024,Atm Operator Fee Wdl          21Oct18:18 Lord Melbourne Hotel     North Adelaidau,2.95,,467.87,Fees & Charges,Fees & Charges
21/10/2024,Atm Withdrawal                21Oct18:18 Lord Melbourne Hotel     North Adelaidau,50,,470.82,Withdrawals & Transfers,ATM & EFTPOS
21/10/2024,Eftpos Credit                 21Oct18:47 Uber* Trip\,,7.97,520.82,Deposits,Deposit
21/10/2024,Eftpos Debit                  21Oct18:32 Uber* Trip\,24.42,,512.85,Transport & Travel,Taxi & Rental car
