Date,Description,Debit,Credit,Balance,Category,SubCategory
1/11/2024,Admin Happy 168032879,70,,2180.79,Bills & Payments,Expenses & Payments
1/11/2024,Eftpos Debit                  01Nov16:42 Neuronau* Trip-C5\,7.63,,2250.79,Transport & Travel,Vehicle Expenses
1/11/2024,Internet Withdrawal           01Nov10:17 To 0280074494440,21000,,2258.42,Withdrawals & Transfers,Funds transfer
31/10/2024,Account-Keeping Fee,10,,23258.42,Fees & Charges,Fees & Charges
31/10/2024,Fragile To Agile Inv 035,,21395,23268.42,Deposits,Deposit
29/10/2024,Foreign Currency Conversn Fee,0.9,,1873.42,Fees & Charges,Fees & Charges
29/10/2024,Visa Purchase O/Seas          24Oct Usd19.95 Mmbill.Com,30.17,,1874.32,Retail & Personal,Retail (shopping)
28/10/2024,Eftpos Debit                  28Oct08:56 Neuronau* Trip-Jd\,8.65,,1904.49,Transport & Travel,Vehicle Expenses
15/10/2024,Foreign Currency Conversn Fee,1.56,,1913.14,Fees & Charges,Fees & Charges
15/10/2024,Visa Purchase O/Seas          12Oct Usd34.99 Rg Crownbill.Com,52.05,,1914.7,Retail & Personal,Retail (shopping)
14/10/2024,Eftpos Debit                  13Oct11:37 Aussie Broadband Limited\,438.9,,1966.75,Bills & Payments,Telecommunications
9/10/2024,Foreign Currency Conversn Fee,0.44,,2405.65,Fees & Charges,Fees & Charges
9/10/2024,Visa Purchase O/Seas          07Oct Usd9.99 Spred,14.73,,2406.09,Retail & Personal,Retail (shopping)
9/10/2024,Internet Deposit              09Oct15:25 From 0280074494440,,2000,2420.82,Deposits,Deposit
5/10/2024,Visa Purchase                 02Oct Giga Pty Limited     Sydney,46.67,,420.82,Entertainment & Recreation,Sports & Leisure
4/10/2024,Foreign Currency Conversn Fee,0.52,,467.49,Fees & Charges,Fees & Charges
4/10/2024,Visa Purchase O/Seas          01Oct Usd11.99 Rg Crownbill.Com,17.4,,468.01,Retail & Personal,Retail (shopping)
4/10/2024,Eftpos Debit                  04Oct19:55 Microsoft*Clipchamp 1 Mon\,17,,485.41,Entertainment & Recreation,TV
2/10/2024,Internet Withdrawal           02Oct12:49 To 0280074830940,50,,502.41,Withdrawals & Transfers,Funds transfer
2/10/2024,Internet Withdrawal           02Oct12:48 To 0280074494440,6000,,552.41,Withdrawals & Transfers,Funds transfer
2/10/2024,Internet Withdrawal           02Oct12:47 To 0280074830940,5000,,6552.41,Withdrawals & Transfers,Funds transfer
1/10/2024,Admin Happy 165662488,97.5,,11552.41,Bills & Payments,Expenses & Payments
30/09/2024,Account-Keeping Fee,10,,11649.91,Fees & Charges,Fees & Charges
30/09/2024,Fragile To Agile Inv 34,,11385,11659.91,Deposits,Deposit
27/09/2024,Foreign Currency Conversn Fee,0.87,,274.91,Fees & Charges,Fees & Charges
27/09/2024,Visa Purchase O/Seas          24Sep Usd19.95 Mmbill.Com,29.29,,275.78,Retail & Personal,Retail (shopping)
27/09/2024,Visa Purchase                 25Sep Beam Mobility Au     Internet,7.63,,305.07,Bills & Payments,Telecommunications
17/09/2024,Foreign Currency Conversn Fee,1.58,,312.7,Fees & Charges,Fees & Charges
17/09/2024,Visa Purchase O/Seas          12Sep Usd34.99 Rg Crownbill.Com,52.85,,314.28,Retail & Personal,Retail (shopping)
10/09/2024,Foreign Currency Conversn Fee,0.45,,367.13,Fees & Charges,Fees & Charges
10/09/2024,Visa Purchase O/Seas          07Sep Usd9.99 Spred,15.01,,367.58,Retail & Personal,Retail (shopping)
7/09/2024,Visa Purchase                 04Sep Microsoft*Clipchamp  Msbill.In,17,,382.59,Entertainment & Recreation,TV
6/09/2024,Visa Purchase                 03Sep Ebay O*18-12014-9879 Sydney,1100,,399.59,Retail & Personal,Retail (shopping)
6/09/2024,Visa Purchase                 03Sep Ebay O*11-12022-1030 Sydney,108.91,,1499.59,Retail & Personal,Retail (shopping)
6/09/2024,Eftpos Debit                  06Sep11:37 Aussie Broadband Limited\,438.9,,1608.5,Bills & Payments,Telecommunications
5/09/2024,Visa Purchase                 02Sep Giga Pty Limited     Sydney,46.67,,2047.4,Entertainment & Recreation,Sports & Leisure
4/09/2024,Foreign Currency Conversn Fee,0.53,,2094.07,Fees & Charges,Fees & Charges
4/09/2024,Visa Purchase O/Seas          01Sep Usd11.99 Rg Crownbill.Com,17.77,,2094.6,Retail & Personal,Retail (shopping)
2/09/2024,Admin Happy 163513798,97.5,,2112.37,Bills & Payments,Expenses & Payments
2/09/2024,Internet Withdrawal           02Sep12:34 To 0280074494440,20000,,2209.87,Withdrawals & Transfers,Funds transfer
31/08/2024,Account-Keeping Fee,10,,22209.87,Fees & Charges,Fees & Charges
30/08/2024,Fragile To Agile Inv0033,,21230,22219.87,Deposits,Deposit
