Date,Description,Debit,Credit,Balance,Category,SubCategory
31/10/2024,Visa Purchase                 28Oct Smp*Baskin Robbins H Hamilton,15.76,,12857.55,Food & Beverage,Dining out
31/10/2024,Internet Deposit              31Oct05:56 From 0280074494440,,800,12873.31,Deposits,Deposit
30/10/2024,Visa Credit                   26Oct Beach Cafe 2         Tangaloom,,25,12073.31,Deposits,Deposit
30/10/2024,Visa Purchase                 28Oct Gelatomessinakenttow Brisbane,95,,12048.31,Food & Beverage,Food & Groceries
30/10/2024,Visa Purchase                 26Oct Beach Cafe 2         Tangaloom,49,,12143.31,Food & Beverage,Dining out
30/10/2024,Visa Purchase                 27Oct Telstra Prepaid      Melbourne,39,,12192.31,Bills & Payments,Telecommunications
30/10/2024,Visa Purchase                 26Oct Coffee Shop 1        Tangaloom,15.5,,12231.31,Food & Beverage,Beverages
30/10/2024,Visa Purchase                 26Oct Tangalooma 6         Tangaloom,14.5,,12246.81,Transport & Travel,Hotels and Accommodation
30/10/2024,Visa Purchase                 26Oct Tangalife Pty Ltd    Moreton I,10,,12261.31,Transport & Travel,Holidays
30/10/2024,Visa Purchase                 26Oct Tangalooma 6         Tangaloom,10,,12271.31,Transport & Travel,Hotels and Accommodation
30/10/2024,Visa Purchase                 26Oct Tangalooma 5         Tangaloom,10,,12281.31,Transport & Travel,Hotels and Accommodation
30/10/2024,Visa Purchase                 26Oct Tangalooma 5         Tangaloom,10,,12291.31,Transport & Travel,Hotels and Accommodation
30/10/2024,Visa Purchase                 26Oct Shop 2               Tangaloom,9.95,,12301.31,Bills & Payments,Gifts & Donations
30/10/2024,Andrew Kay Manag Wages 27102024,,1643.61,12311.26,Income,Salary
29/10/2024,Visa Purchase                 27Oct Felons Barrel Hall   Corinda,61.53,,10667.65,Food & Beverage,Beverages
29/10/2024,Visa Purchase                 25Oct Zlr*Choo Choo Sushi  Hamilton,42.64,,10729.18,Food & Beverage,Dining out
29/10/2024,Visa Purchase                 27Oct Ls Short Stop Coffee Hamilton,25.85,,10771.82,Food & Beverage,Beverages
29/10/2024,Visa Purchase                 25Oct Smp*Baskin Robbins H Hamilton,9.66,,10797.67,Food & Beverage,Dining out
29/10/2024,Visa Purchase                 24Oct Iga Portside Wharf   Hamilton,5.85,,10807.33,Food & Beverage,Food & Groceries
28/10/2024,Visa Purchase                 25Oct Ls Rise Bakery       Hamilton,30.39,,10813.18,Food & Beverage,Food & Groceries
28/10/2024,Eftpos Debit                  27Oct17:24 Uber* Trip\,32.58,,10843.57,Transport & Travel,Taxi & Rental car
28/10/2024,Eftpos Debit                  27Oct09:26 Uber* Trip\,24.69,,10876.15,Transport & Travel,Taxi & Rental car
28/10/2024,Eftpos Debit                  26Oct22:41 Uber* Trip\,47.16,,10900.84,Transport & Travel,Taxi & Rental car
26/10/2024,Visa Purchase                 24Oct Amazon Marketplace A Sydney So,63.99,,10948,Retail & Personal,Retail (shopping)
26/10/2024,Visa Purchase                 22Oct Iga Portside Wharf   Hamilton,16.4,,11011.99,Food & Beverage,Food & Groceries
26/10/2024,Visa Purchase                 24Oct Vending Simplicity   Wakerley,2.8,,11028.39,Food & Beverage,Beverages
26/10/2024,Visa Purchase                 24Oct Vending Simplicity   Wakerley,2.5,,11031.19,Food & Beverage,Beverages
26/10/2024,Eftpos Debit                  26Oct21:57 Uber* Trip\,5.5,,11033.69,Transport & Travel,Taxi & Rental car
26/10/2024,Eftpos Debit                  26Oct10:39 Uber* Trip\,46.5,,11039.19,Transport & Travel,Taxi & Rental car
26/10/2024,Eftpos Debit                  26Oct10:07 Uber* Trip\,14.78,,11085.69,Transport & Travel,Taxi & Rental car
25/10/2024,Visa Purchase                 22Oct Riva Kitchen & Event Hamilton,62.12,,11100.47,Food & Beverage,Dining out
25/10/2024,Visa Purchase                 21Oct Iga Portside Wharf   Hamilton,10.83,,11162.59,Food & Beverage,Food & Groceries
25/10/2024,Visa Purchase                 22Oct Ls The Ballpark Port Hamilton,10,,11173.42,Food & Beverage,Dining out
24/10/2024,Visa Purchase                 21Oct Sp Usafoods Aus      Moorabbin,73.46,,11183.42,Home & Property,Technology & Appliances
24/10/2024,Visa Purchase                 21Oct Smp*Baskin Robbins H Hamilton,15.76,,11256.88,Food & Beverage,Dining out
24/10/2024,Visa Purchase                 21Oct Smp*Baskin Robbins H Hamilton,2.03,,11272.64,Food & Beverage,Dining out
24/10/2024,Internet Deposit              24Oct06:00 From 0280074494440,,800,11274.67,Deposits,Deposit
23/10/2024,Visa Purchase                 21Oct Officeworks          Bentleigh,13.18,,10474.67,Retail & Personal,Retail (shopping)
23/10/2024,Visa Purchase                 18Oct Tobern Investments P Adelaide,12.5,,10487.85,Food & Beverage,Beverages
23/10/2024,Visa Purchase                 18Oct Tobern Investments P Adelaide,9.5,,10500.35,Food & Beverage,Beverages
23/10/2024,Visa Purchase                 19Oct Nth Adel Foodland    North Ade,7.38,,10509.85,Food & Beverage,Food & Groceries
23/10/2024,Andrew Kay Manag Wages 20102024,,1366.5,10517.23,Income,Salary
