Date,Description,Debit,Credit,Balance,Category,SubCategory
16/10/2024,Repaymt A/C Tfr,,4924,704983.56,Home,Repayment
15/10/2024,Loan A/C Fee,,0,709907.56,Home,A/C Fee
15/10/2024,Interest,278.45,,709907.56,Home,Interest
16/09/2024,Repaymt A/C Tfr,,4924,709629.11,Home,Repayment
15/09/2024,Loan A/C Fee,,0,714553.11,Home,A/C Fee
15/09/2024,Interest,378.89,,714553.11,Home,Interest
16/08/2024,Repaymt A/C Tfr,,4924,714174.22,Home,Repayment
15/08/2024,Loan A/C Fee,,0,719098.22,Home,A/C Fee
15/08/2024,Interest,288.98,,719098.22,Home,Interest
16/07/2024,Repaymt A/C Tfr,,4924,718809.24,Home,Repayment
15/07/2024,Loan A/C Fee,,0,723733.24,Home,A/C Fee
15/07/2024,Interest,310.15,,723733.24,Home,Interest
16/06/2024,Repaymt A/C Tfr,,4924,723423.09,Home,Repayment
15/06/2024,Loan A/C Fee,,0,728347.09,Home,A/C Fee
15/06/2024,Interest,103.12,,728347.09,Home,Interest
16/05/2024,Repaymt A/C Tfr,,4924,728243.97,Home,Repayment
15/05/2024,Loan A/C Fee,,0,733167.97,Home,A/C Fee
15/05/2024,Interest,1460.46,,733167.97,Home,Interest
16/04/2024,Repaymt A/C Tfr,,4924,731707.51,Home,Repayment
15/04/2024,Loan A/C Fee,,0,736631.51,Home,A/C Fee
15/04/2024,Interest,1271.26,,736631.51,Home,Interest
16/03/2024,Repaymt A/C Tfr,,4924,735360.25,Home,Repayment
15/03/2024,Loan A/C Fee,,0,740284.25,Home,A/C Fee
15/03/2024,Interest,1509,,740284.25,Home,Interest
16/02/2024,Repaymt A/C Tfr,,4924,738775.25,Home,Repayment
15/02/2024,Loan A/C Fee,,0,743699.25,Home,A/C Fee
15/02/2024,Interest,1068.25,,743699.25,Home,Interest
16/01/2024,Repaymt A/C Tfr,,4839,742631,Home,Repayment
15/01/2024,Loan A/C Fee,,0,747470,Home,A/C Fee
15/01/2024,Interest,1292.88,,747470,Home,Interest
16/12/2023,Repaymt A/C Tfr,,4839,746177.12,Home,Repayment
15/12/2023,Loan A/C Fee,,0,751016.12,Home,A/C Fee
15/12/2023,Interest,1106.23,,751016.12,Home,Interest
16/11/2023,Repaymt A/C Tfr,,4839,749909.89,Home,Repayment
15/11/2023,Loan A/C Fee,,0,754748.89,Home,A/C Fee
15/11/2023,Interest,1217.26,,754748.89,Home,Interest
16/10/2023,Repaymt A/C Tfr,,4839,753531.63,Home,Repayment
15/10/2023,Loan A/C Fee,,0,758370.63,Home,A/C Fee
15/10/2023,Interest,1200.84,,758370.63,Home,Interest
16/09/2023,Repaymt A/C Tfr,,5149,757169.79,Home,Repayment
15/09/2023,Loan A/C Fee,,0,762318.79,Home,A/C Fee
15/09/2023,Interest,1226.86,,762318.79,Home,Interest
16/08/2023,Repaymt A/C Tfr,,5039,761091.93,Home,Repayment
15/08/2023,Loan A/C Fee,,0,766130.93,Home,A/C Fee
15/08/2023,Interest,1124.28,,766130.93,Home,Interest
16/07/2023,Repaymt A/C Tfr,,4921,765006.65,Home,Repayment
15/07/2023,Loan A/C Fee,,0,769927.65,Home,A/C Fee
15/07/2023,Interest,2096.52,,769927.65,Home,Interest
16/06/2023,Repaymt A/C Tfr,,4921,767831.13,Home,Repayment
15/06/2023,Int Adjustment,,5.27,772752.13,Home,Interest
15/06/2023,Loan A/C Fee,,0,772757.4,Home,A/C Fee
15/06/2023,Interest,2707.06,,772757.4,Home,Interest
16/05/2023,Repaymt A/C Tfr,,4808,770050.34,Home,Repayment
15/05/2023,Loan A/C Fee,,0,774858.34,Home,A/C Fee
15/05/2023,Interest,2682.13,,774858.34,Home,Interest
16/04/2023,Repaymt A/C Tfr,,4696,772176.21,Home,Repayment
15/04/2023,Loan A/C Fee,,0,776872.21,Home,A/C Fee
15/04/2023,Interest,2971.78,,776872.21,Home,Interest
16/03/2023,Repaymt A/C Tfr,,4696,773900.43,Home,Repayment
15/03/2023,Loan A/C Fee,,0,778596.43,Home,A/C Fee
15/03/2023,Interest,2452.46,,778596.43,Home,Interest
16/02/2023,Repaymt A/C Tfr,,4582,776143.97,Home,Repayment
15/02/2023,Loan A/C Fee,,0,780725.97,Home,A/C Fee
15/02/2023,Interest,2526.71,,780725.97,Home,Interest
16/01/2023,Repaymt A/C Tfr,,4462,778199.26,Home,Repayment
15/01/2023,Loan A/C Fee,,0,782661.26,Home,A/C Fee
15/01/2023,Interest,2992.64,,782661.26,Home,Interest
16/12/2022,Repaymt A/C Tfr,,4347,779668.62,Home,Repayment
15/12/2022,Loan A/C Fee,,0,784015.62,Home,A/C Fee
15/12/2022,Interest,2757.89,,784015.62,Home,Interest
16/11/2022,Repaymt A/C Tfr,,4116,781257.73,Home,Repayment
15/11/2022,Loan A/C Fee,,0,785373.73,Home,A/C Fee
15/11/2022,Interest,2625.36,,785373.73,Home,Interest
16/10/2022,Repaymt A/C Tfr,,3891,782748.37,Home,Repayment
15/10/2022,Loan A/C Fee,,0,786639.37,Home,A/C Fee
15/10/2022,Interest,2351.99,,786639.37,Home,Interest
16/09/2022,Repaymt A/C Tfr,,3673,784287.38,Home,Repayment
15/09/2022,Loan A/C Fee,,0,787960.38,Home,A/C Fee
15/09/2022,Interest,2201.82,,787960.38,Home,Interest
16/08/2022,Repaymt A/C Tfr,,3469,785758.56,Home,Repayment
15/08/2022,Loan A/C Fee,,0,789227.56,Home,A/C Fee
15/08/2022,Interest,1950.34,,789227.56,Home,Interest
16/07/2022,Repaymt A/C Tfr,,3386,787277.22,Home,Repayment
15/07/2022,Loan A/C Fee,,0,790663.22,Home,A/C Fee
15/07/2022,Interest,1659.76,,790663.22,Home,Interest
16/06/2022,Repaymt A/C Tfr,,3386,789003.46,Home,Repayment
15/06/2022,Loan A/C Fee,,0,792389.46,Home,A/C Fee
15/06/2022,Interest,1405.77,,792389.46,Home,Interest
16/05/2022,Repaymt A/C Tfr,,3386,790983.69,Home,Repayment
15/05/2022,Loan A/C Fee,,0,794369.69,Home,A/C Fee
15/05/2022,Interest,1336.03,,794369.69,Home,Interest
16/04/2022,Repaymt A/C Tfr,,3386,793033.66,Home,Repayment
15/04/2022,Loan A/C Fee,,0,796419.66,Home,A/C Fee
15/04/2022,Interest,1411.54,,796419.66,Home,Interest
16/03/2022,Repaymt A/C Tfr,,3386,795008.12,Home,Repayment
15/03/2022,Loan A/C Fee,,0,798394.12,Home,A/C Fee
15/03/2022,Interest,1263.52,,798394.12,Home,Interest
16/02/2022,Repaymt A/C Tfr,,3386,797130.6,Home,Repayment
15/02/2022,Loan A/C Fee,,0,800516.6,Home,A/C Fee
15/02/2022,Interest,1360.78,,800516.6,Home,Interest
16/01/2022,Repaymt A/C Tfr,,3386,799155.82,Home,Repayment
15/01/2022,Loan A/C Fee,,0,802541.82,Home,A/C Fee
15/01/2022,Interest,1315.92,,802541.82,Home,Interest
16/12/2021,Repaymt A/C Tfr,,3386,801225.9,Home,Repayment
